yearmonth,region,fueltype,cost
2023년03월,충북,경유,1542.61
2023년04월,충북,경유,1535.64
2023년05월,충북,경유,1482.19
2023년06월,충북,경유,1402.02
2023년07월,충북,경유,1399.61
2023년08월,충북,경유,1571.65
2023년09월,충북,경유,1667.27
2023년10월,충북,경유,1696.09
2023년11월,충북,경유,1638.56
2023년12월,충북,경유,1539.58
2024년01월,충북,경유,1491.86
2024년02월,충북,경유,1521.25
2024년03월,충북,경유,1540.82
2024년04월,충북,경유,1560.15
2024년05월,충북,경유,1545.49
2024년06월,충북,경유,1496.42
2024년07월,충북,경유,1544.71
2024년08월,충북,경유,1532.7
2024년09월,충북,경유,1466.1
2024년10월,충북,경유,1428.6
2024년11월,충북,경유,1466.57
2024년12월,충북,경유,1501.14
2025년01월,충북,경유,1566.79
2025년02월,충북,경유,1599.32
2025년03월,충북,경유,1565.2
2025년04월,충북,경유,1523.92
2025년05월,충북,경유,1511.45
2020년01월,충남,경유,1399.41
2020년02월,충남,경유,1371.59
2020년03월,충남,경유,1286.37
2020년04월,충남,경유,1140.81
2020년05월,충남,경유,1071.35
2020년06월,충남,경유,1129.35
2020년07월,충남,경유,1162.68
2020년08월,충남,경유,1162.91
2020년09월,충남,경유,1155.23
2020년10월,충남,경유,1135.6
2020년11월,충남,경유,1122.28
2020년12월,충남,경유,1167.21
2021년01월,충남,경유,1236.59
2021년02월,충남,경유,1260.8
2021년03월,충남,경유,1310.17
2021년04월,충남,경유,1332.61
2021년05월,충남,경유,1340.89
2021년06월,충남,경유,1376.74
2021년07월,충남,경유,1423.71
2021년08월,충남,경유,1438.36
2021년09월,충남,경유,1436.91
2021년10월,충남,경유,1510.31
2021년11월,충남,경유,1552.64
2021년12월,충남,경유,1470.24
2022년01월,충남,경유,1454.63
2022년02월,충남,경유,1535.17
2022년03월,충남,경유,1823.42
2022년04월,충남,경유,1908.95
2022년05월,충남,경유,1968.12
2022년06월,충남,경유,2090.93
2022년07월,충남,경유,2090.09
2022년08월,충남,경유,1898.77
2022년09월,충남,경유,1855.96
2022년10월,충남,경유,1843.2
2022년11월,충남,경유,1886.26
2022년12월,충남,경유,1801.99
2023년01월,충남,경유,1690.62
2023년02월,충남,경유,1618.8
2023년03월,충남,경유,1550.56
2023년04월,충남,경유,1544
2023년05월,충남,경유,1486.24
2023년06월,충남,경유,1406.48
2023년07월,충남,경유,1401.12
2023년08월,충남,경유,1566.06
2023년09월,충남,경유,1667.02
2023년10월,충남,경유,1697.99
2023년11월,충남,경유,1643.47
2023년12월,충남,경유,1544.65
2024년01월,충남,경유,1491.06
2024년02월,충남,경유,1519.58
2024년03월,충남,경유,1543.74
2024년04월,충남,경유,1564.47
2024년05월,충남,경유,1549.2
2024년06월,충남,경유,1495.24
2024년07월,충남,경유,1540.33
2024년08월,충남,경유,1534.13
2024년09월,충남,경유,1470.94
2024년10월,충남,경유,1430.32
2024년11월,충남,경유,1466.19
2024년12월,충남,경유,1500.74
2025년01월,충남,경유,1565.65
2025년02월,충남,경유,1598.19
2025년03월,충남,경유,1561.31
2025년04월,충남,경유,1520
2025년05월,충남,경유,1509.34
2020년01월,전북,경유,1384.82
2020년02월,전북,경유,1350.38
2020년03월,전북,경유,1260.65
2020년04월,전북,경유,1119.24
2020년05월,전북,경유,1054.8
2020년06월,전북,경유,1112.64
2020년07월,전북,경유,1148.3
2020년08월,전북,경유,1147.76
2020년09월,전북,경유,1140.72
